71533000-71534000 r--p 00002000 fd:04 2044                               /system/framework/arm64/boot-framework-graphics.oat
71534000-71535000 rw-p 00003000 fd:04 2044                               /system/framework/arm64/boot-framework-graphics.oat
71535000-7153a000 r--p 00000000 fd:04 2041                               /system/framework/arm64/boot-ext.oat
7153a000-71550000 r-xp 00005000 fd:04 2041                               /system/framework/arm64/boot-ext.oat
71550000-71551000 r--p 0001b000 fd:04 2041                               /system/framework/arm64/boot-ext.oat
71551000-71552000 rw-p 00000000 fd:04 2078                               /system/framework/boot-ext.vdex
71552000-71553000 r--p 0001c000 fd:04 2041                               /system/framework/arm64/boot-ext.oat
71553000-71554000 rw-p 0001d000 fd:04 2041                               /system/framework/arm64/boot-ext.oat
71554000-71559000 r--p 00000000 fd:04 2065                               /system/framework/arm64/boot-telephony-common.oat
71559000-7155f000 rw-p 00000000 fd:04 2086                               /system/framework/boot-telephony-common.vdex
7155f000-71560000 r--p 00005000 fd:04 2065                               /system/framework/arm64/boot-telephony-common.oat
71560000-71561000 rw-p 00006000 fd:04 2065                               /system/framework/arm64/boot-telephony-common.oat
71561000-71564000 r--p 00000000 fd:04 2071                               /system/framework/arm64/boot-voip-common.oat
71564000-71565000 r-xp 00003000 fd:04 2071                               /system/framework/arm64/boot-voip-common.oat
71565000-71568000 rw-p 00000000 fd:04 2088                               /system/framework/boot-voip-common.vdex
71568000-71569000 r--p 00004000 fd:04 2071                               /system/framework/arm64/boot-voip-common.oat
71569000-7156a000 rw-p 00005000 fd:04 2071                               /system/framework/arm64/boot-voip-common.oat
7156a000-7156c000 r--p 00000000 fd:04 2050                               /system/framework/arm64/boot-ims-common.oat
7156c000-7156e000 rw-p 00000000 fd:04 2081                               /system/framework/boot-ims-common.vdex
7156e000-7156f000 r--p 00002000 fd:04 2050                               /system/framework/arm64/boot-ims-common.oat
7156f000-71570000 rw-p 00003000 fd:04 2050                               /system/framework/arm64/boot-ims-common.oat
71570000-7159e000 r--p 00000000 fd:04 2038                               /system/framework/arm64/boot-core-icu4j.oat
7159e000-71681000 r-xp 0002e000 fd:04 2038                               /system/framework/arm64/boot-core-icu4j.oat
71681000-71682000 r--p 00111000 fd:04 2038                               /system/framework/arm64/boot-core-icu4j.oat
71682000-71683000 rw-p 00000000 00:00 0                                  [anon:.bss]
71683000-71689000 rw-p 00000000 fd:04 2077                               /system/framework/boot-core-icu4j.vdex
71689000-7168a000 r--p 00112000 fd:04 2038                               /system/framework/arm64/boot-core-icu4j.oat
7168a000-7168b000 rw-p 00113000 fd:04 2038                               /system/framework/arm64/boot-core-icu4j.oat
7168b000-7168d000 r--p 00000000 fd:04 2062                               /system/framework/arm64/boot-tcmiface.oat
7168d000-7168e000 rw-p 00000000 fd:04 2085                               /system/framework/boot-tcmiface.vdex
7168e000-7168f000 r--p 00002000 fd:04 2062                               /system/framework/arm64/boot-tcmiface.oat
7168f000-71690000 rw-p 00003000 fd:04 2062                               /system/framework/arm64/boot-tcmiface.oat
71690000-71692000 r--p 00000000 fd:04 2068                               /system/framework/arm64/boot-telephony-ext.oat
71692000-71693000 rw-p 00000000 fd:04 2087                               /system/framework/boot-telephony-ext.vdex
71693000-71694000 r--p 00002000 fd:04 2068                               /system/framework/arm64/boot-telephony-ext.oat
71694000-71695000 rw-p 00003000 fd:04 2068                               /system/framework/arm64/boot-telephony-ext.oat
71695000-71697000 r--p 00000000 fd:04 2059                               /system/framework/arm64/boot-qcom.fmradio.oat
71697000-71698000 r-xp 00002000 fd:04 2059                               /system/framework/arm64/boot-qcom.fmradio.oat
71698000-71699000 rw-p 00000000 fd:04 2084                               /system/framework/boot-qcom.fmradio.vdex
71699000-7169a000 r--p 00003000 fd:04 2059                               /system/framework/arm64/boot-qcom.fmradio.oat
7169a000-7169b000 rw-p 00004000 fd:04 2059                               /system/framework/arm64/boot-qcom.fmradio.oat
7169b000-7169d000 r--p 00000000 fd:04 2029                               /system/framework/arm64/boot-QPerformance.oat
7169d000-7169e000 r-xp 00002000 fd:04 2029                               /system/framework/arm64/boot-QPerformance.oat
7169e000-7169f000 rw-p 00000000 fd:04 2074                               /system/framework/boot-QPerformance.vdex
7169f000-716a0000 r--p 00003000 fd:04 2029                               /system/framework/arm64/boot-QPerformance.oat
716a0000-716a1000 rw-p 00004000 fd:04 2029                               /system/framework/arm64/boot-QPerformance.oat
716a1000-716a3000 r--p 00000000 fd:04 2032                               /system/framework/arm64/boot-UxPerformance.oat
716a3000-716a4000 rw-p 00000000 fd:04 2075                               /system/framework/boot-UxPerformance.vdex
716a4000-716a5000 r--p 00002000 fd:04 2032                               /system/framework/arm64/boot-UxPerformance.oat
716a5000-716a6000 rw-p 00003000 fd:04 2032                               /system/framework/arm64/boot-UxPerformance.oat
716a6000-716a8000 r--p 00000000 fd:04 2035                               /system/framework/arm64/boot-WfdCommon.oat
716a8000-716a9000 rw-p 00000000 fd:04 2076                               /system/framework/boot-WfdCommon.vdex
716a9000-716aa000 r--p 00002000 fd:04 2035                               /system/framework/arm64/boot-WfdCommon.oat
716aa000-716ab000 rw-p 00003000 fd:04 2035                               /system/framework/arm64/boot-WfdCommon.oat
716ab000-716b2000 r--p 00000000 fd:04 2053                               /system/framework/arm64/boot-miui-framework.oat
716b2000-716b5000 r-xp 00007000 fd:04 2053                               /system/framework/arm64/boot-miui-framework.oat
716b5000-716c0000 rw-p 00000000 fd:04 2082                               /system/framework/boot-miui-framework.vdex
716c0000-716c1000 r--p 0000a000 fd:04 2053                               /system/framework/arm64/boot-miui-framework.oat
716c1000-716c2000 rw-p 0000b000 fd:04 2053                               /system/framework/arm64/boot-miui-framework.oat
716c2000-716c4000 r--p 00000000 fd:04 2056                               /system/framework/arm64/boot-miui-telephony-common.oat
716c4000-716c5000 rw-p 00000000 fd:04 2083                               /system/framework/boot-miui-telephony-common.vdex
716c5000-716c6000 r--p 00002000 fd:04 2056                               /system/framework/arm64/boot-miui-telephony-common.oat
