078 7a2a20d000-7a2a24d000 rw-p [anon:dalvik-LinearAlloc] size=262144
079 7a2d00c000-7a2d02c000 rw-p [anon:dalvik-LinearAlloc] size=131072
080 7a2d0f8000-7a2d158000 rw-p [anon:dalvik-LinearAlloc] size=393216
081 7a2ec85000-7a2eca5000 rw-p [anon:dalvik-LinearAlloc] size=131072
082 7a2ed06000-7a2ed26000 rw-p [anon:dalvik-LinearAlloc] size=131072
083 7a2ed98000-7a2edb8000 rw-p [anon:dalvik-LinearAlloc] size=131072
084 7a2ee60000-7a2ee80000 rw-p [anon:dalvik-LinearAlloc] size=131072
085 7a30a09000-7a30b05000 rw-p [anon:stack_and_tls:28371] size=1032192
086 7a30b07000-7a30c03000 rw-p [anon:stack_and_tls:28368] size=1032192
087 7a30c05000-7a30d01000 rw-p [anon:stack_and_tls:28367] size=1032192
088 7a30d03000-7a30dff000 rw-p [anon:stack_and_tls:28366] size=1032192
089 7a34e00000-7a35457000 rw-p [anon:libc_malloc] size=6647808
090 7a3545a000-7a35800000 rw-p [anon:libc_malloc] size=3825664
091 7a35801000-7a35841000 rw-p [anon:dalvik-LinearAlloc] size=262144
092 7a3584a000-7a3586a000 rw-p [anon:dalvik-LinearAlloc] size=131072
093 7a359e1000-7a35aa1000 rw-p [anon:dalvik-LinearAlloc] size=786432
094 7a35aa2000-7a35b9e000 rw-p [anon:stack_and_tls:28365] size=1032192
095 7a35cb5000-7a35ccb000 rw-p  size=90112
096 7a35ccf000-7a35ce3000 rw-p  size=81920
097 7a35cfd000-7a35d1d000 rw-p [anon:dalvik-LinearAlloc] size=131072
098 7a36d1d000-7a36e00000 rw-p [anon:dalvik-allocspace size=929792
099 7a36e17000-7a36e57000 rw-p [anon:dalvik-LinearAlloc] size=262144
100 7a3709b000-7a371a2000 rw-p [anon:stack_and_tls:28363] size=1077248
101 7a371a5000-7a372a0000 rw-p [anon:stack_and_tls:28361] size=1028096
102 7a372a3000-7a3739e000 rw-p [anon:stack_and_tls:28360] size=1028096
103 7a373a1000-7a3749c000 rw-p [anon:stack_and_tls:28359] size=1028096
104 7a3749f000-7a375a6000 rw-p [anon:stack_and_tls:28358] size=1077248
105 7a375a9000-7a376b0000 rw-p [anon:stack_and_tls:28357] size=1077248
106 7a376b3000-7a377ba000 rw-p [anon:stack_and_tls:28356] size=1077248
107 7a377bd000-7a378c4000 rw-p [anon:stack_and_tls:28355] size=1077248
108 7a378c7000-7a379ca000 rw-p [anon:stack_and_tls:28354] size=1060864
109 7a37acb000-7a37bc6000 rw-p [anon:stack_and_tls:28353] size=1028096
110 7a37bc9000-7a37cc4000 rw-p [anon:stack_and_tls:28352] size=1028096
111 7a3accf000-7a3ad0f000 rw-p [anon:dalvik-LinearAlloc] size=262144
112 7a3ad29000-7a3ad69000 rw-p [anon:dalvik-LinearAlloc] size=262144
113 7a3b644000-7a3b684000 rw-p [anon:dalvik-LinearAlloc] size=262144
114 7a3b6ba000-7a3b6fa000 rw-p [anon:dalvik-LinearAlloc] size=262144
115 7a3b71d000-7a3b800000 rw-p [anon:dalvik-allocspace size=929792
116 7a3bfc0000-7a3c000000 rw-p [anon:dalvik-LinearAlloc] size=262144
117 7a416bb000-7a416db000 rw-p [anon:dalvik-LinearAlloc] size=131072
118 7a416db000-7a41704000 rw-p [anon:dalvik-CompilerMetadata] size=167936
119 7a4172d000-7a4174d000 rw-p [anon:dalvik-CompilerMetadata] size=131072
120 7a41768000-7a417a8000 rw-p [anon:dalvik-CompilerMetadata] size=262144
121 7a417b2000-7a417d2000 rw-p [anon:dalvik-CompilerMetadata] size=131072
122 7a417e0000-7a41800000 rw-p [anon:dalvik-CompilerMetadata] size=131072
123 7a43c12000-7a43c52000 rw-p [anon:dalvik-CompilerMetadata] size=262144
124 7a43cbc000-7a43cdc000 rw-p [anon:dalvik-CompilerMetadata] size=131072
125 7a43cef000-7a43d0f000 rw-p [anon:dalvik-CompilerMetadata] size=131072
126 7a43d8a000-7a43daa000 rw-p [anon:dalvik-CompilerMetadata] size=131072
127 7a43e1a000-7a43e3a000 rw-p [anon:dalvik-LinearAlloc] size=131072
128 7a43fa1000-7a43fc1000 rw-p [anon:dalvik-LinearAlloc] size=131072
129 7a45c08000-7a45c48000 rw-p [anon:dalvik-LinearAlloc] size=262144
130 7a45c6b000-7a45c8b000 rw-p [anon:dalvik-LinearAlloc] size=131072
131 7a45de0000-7a45e00000 rw-p [anon:dalvik-LinearAlloc] size=131072
132 7a4740e000-7a4744e000 rw-p [anon:dalvik-LinearAlloc] size=262144
133 7a476b2000-7a47932000 rw-p [anon:libc_malloc] size=2621440
134 7a479cb000-7a47b5b000 rw-p [anon:dalvik-indirect size=1638400
135 7a47b5b000-7a47c5b000 rw-p [anon:dalvik-non-moving-space size=1048576
136 7a47c5b000-7a48c5b000 rw-p [anon:dalvik-region-space size=16777216
137 7a48c5b000-7a48e5b000 rw-p [anon:dalvik-rb size=2097152
138 7a48e5b000-7a4965b000 rw-p [anon:dalvik-concurrent size=8388608
139 7a4965b000-7a4985b000 rw-p [anon:dalvik-rb size=2097152
140 7a4985b000-7a4a05b000 rw-p [anon:dalvik-concurrent size=8388608
141 7a4a05b000-7a4a85c000 rw-p [anon:dalvik-live size=8392704
142 7a4a85c000-7a4b05d000 rw-p [anon:dalvik-allocation size=8392704
143 7a4b05d000-7a4b45e000 rw-p [anon:dalvik-card size=4198400
144 7a4b45e000-7a4b55e000 rw-p [anon:dalvik-large size=1048576
145 7a4b55e000-7a4c55e000 rw-p [anon:dalvik-region size=16777216
146 7a4c55e000-7a4c65e000 rw-p [anon:dalvik-allocspace size=1048576
147 7a4c65e000-7a4c75e000 rw-p [anon:dalvik-allocspace size=1048576
148 7a509e0000-7a50a00000 rw-p [anon:dalvik-LinearAlloc] size=131072
